repository	window	L1.5	L1.7	L1.4
google__gson	2015	23.9	56.3	31.6
google__gson	2016	57.9	61.8	11.0
google__gson	2017	35.2	55.4	7.0
google__gson	2018	20.7	55.0	6.0
google__gson	2019	116.8	76.9	6.1
google__gson	2020	3556.1	66.7	0.8
google__gson	2021	92.0	61.5	5.7
google__gson	2022	38.7	58.4	4.4
google__gson	2023	67.5	80.3	3.1
google__gson	2024	87.7	75.8	1.2
google__gson	2025	47.6	67.3	3.4
junit-team__junit4	2015	31.0	45.3	0.8
junit-team__junit4	2016	39.5	50.6	4.8
junit-team__junit4	2017	14.2	38.9	0.5
junit-team__junit4	2018	41.5	56.6	0.7
junit-team__junit4	2019	76.0	83.9	0.4
junit-team__junit4	2020	16.9	52.4	10.7
junit-team__junit4	2021	67.7	64.9	4.8
junit-team__junit4	2022	117.4	75.0	0.0
junit-team__junit4	2023	186.7	50.0	80.0
junit-team__junit4	2024	74.2	60.0	0.0
junit-team__junit4	2025	72.9	80.0	55.9
JamesNK__Newtonsoft.Json	2015	30.1	48.5	0.0
JamesNK__Newtonsoft.Json	2016	57.9	45.5	0.0
JamesNK__Newtonsoft.Json	2017	85.1	48.4	0.1
JamesNK__Newtonsoft.Json	2018	33.6	45.5	0.2
JamesNK__Newtonsoft.Json	2019	48.9	57.8	0.0
JamesNK__Newtonsoft.Json	2020	78.8	100.0	0.0
JamesNK__Newtonsoft.Json	2021	21.7	44.0	4.7
JamesNK__Newtonsoft.Json	2022	27.4	45.5	0.0
JamesNK__Newtonsoft.Json	2023	10.0	60.0	0.0
JamesNK__Newtonsoft.Json	2024	5.9	25.0	0.0
JamesNK__Newtonsoft.Json	2025	22.0	56.5	0.0
restsharp__RestSharp	2015	36.7	50.5	0.1
restsharp__RestSharp	2016	24.2	51.4	0.0
restsharp__RestSharp	2017	186.4	54.1	0.3
restsharp__RestSharp	2018	62.3	59.6	2.1
restsharp__RestSharp	2019	110.2	63.5	0.1
restsharp__RestSharp	2020	43.1	57.8	52.3
restsharp__RestSharp	2021	228.9	74.1	3.5
restsharp__RestSharp	2022	58.3	66.1	13.5
restsharp__RestSharp	2023	57.5	64.6	7.2
restsharp__RestSharp	2024	63.4	69.1	12.2
restsharp__RestSharp	2025	149.6	52.2	58.6
json-c__json-c	2015	46.8	50.0	0.8
json-c__json-c	2016	20.9	45.8	4.1
json-c__json-c	2017	51.1	51.1	10.1
json-c__json-c	2018	28.6	50.0	27.3
json-c__json-c	2019	24.8	49.1	24.9
json-c__json-c	2020	73.8	50.7	19.9
json-c__json-c	2021	46.3	56.2	25.9
json-c__json-c	2022	42.6	55.7	19.0
json-c__json-c	2023	14.6	56.5	8.6
json-c__json-c	2024	24.5	50.0	37.4
json-c__json-c	2025	27.3	52.9	4.0
libuv__libuv	2015	43.8	44.6	5.4
libuv__libuv	2016	36.6	48.5	5.9
libuv__libuv	2017	19.0	48.8	19.3
libuv__libuv	2018	66.6	53.9	7.5
libuv__libuv	2019	17.8	49.1	6.7
libuv__libuv	2020	64.4	54.4	8.5
libuv__libuv	2021	64.6	56.2	9.5
libuv__libuv	2022	72.9	55.6	5.1
libuv__libuv	2023	75.2	43.5	2.4
libuv__libuv	2024	42.7	50.0	6.6
libuv__libuv	2025	49.5	58.7	5.2
